key,month,RequestorODS,"attachment_size_mb"
"2019-08-15T14:11:35-567000647108",08,C81072,"59.64509201049805"
"2019-08-13T11:51:57-566428761104",08,B85014,"60.46072769165039"
"2019-08-14T14:09:06-891722160035",08,A86004,"54.5697135925293"
"2019-08-14T14:59:26-565927616105",08,B83042,"59.74717330932617"
"2019-08-14T09:55:48-213539461045",08,C82680,"69.59092330932617"
"2019-08-14T10:43:23-234352425040",08,B81656,"53.491416931152344"
"2019-08-16T08:11:34-556678527038",08,A87600,"59.6472282409668"
"2019-08-12T13:12:34-564428058100",08,B81064,"69.07090377807617"
"2019-08-13T09:05:10-946249126032",08,B83015,"76.19881439208984"
"2019-08-13T15:54:54-123465117034",08,B81022,"69.59092330932617"
"2019-08-16T11:29:15-565411465108",08,C82095,"58.91694259643555"
"2019-08-12T10:01:43-830184510030",08,A87005,"79.1296501159668"
"2019-08-12T15:04:59-562525218108",08,A83030,"59.64936447143555"
"2019-08-12T14:42:18-215787145030",08,A83641,"71.73261642456055"
"2019-08-14T09:42:23-089514736043",08,A81016,"64.96087265014648"
"2019-08-12T16:11:09-693665000032",08,A84008,"186.77219009399414"
"2019-08-12T12:52:39-563197575104",08,A81049,"69.59092330932617"
"2019-08-15T09:23:44-566239049109",08,A81067,"139.18041229248047"
"2019-08-13T09:58:49-821324921039",08,A84026,"66.79293823242188"
"2019-08-12T14:13:28-899120291047",08,A81027,"81.38623428344727"
"2019-08-05T11:03:30-727067594042",08,L83148,"61.133602142333984"
"2019-08-09T09:13:04-566020772102",08,M85069,"115.62616729736328"
"2019-08-08T12:03:02-566020772102",08,M85069,"89.47404098510742"
"2019-08-08T11:18:07-517590455039",08,M85069,"69.59092330932617"
"2019-08-08T11:05:22-566020772102",08,M85069,"89.47404098510742"
"2019-08-08T11:03:50-566020772102",08,M85069,"59.64936447143555"
"2019-08-07T13:01:44-565063259109",08,M85069,"59.03850555419922"
"2019-08-06T18:16:04-303601737032",08,M83066,"56.06309509277344"
"2019-08-06T09:37:33-593494910049",08,Y02611,"76.68913269042969"
"2019-08-06T12:57:29-521750558046",08,M89009,"119.49433517456055"
"2019-08-08T08:30:06-565493339106",08,Y02589,"79.58965301513672"
"2019-08-09T09:36:19-443383732569",08,L83616,"79.5324821472168"
"2019-08-06T08:32:44-188601468567",08,M83067,"84.06283187866211"
"2019-08-09T15:11:25-566555503101",08,Y03112,"79.6496696472168"
"2019-08-05T10:41:56-565647822101",08,M89010,"73.17424774169922"
"2019-08-07T15:38:06-687118687049",08,P92016,"50.7080078125"
"2019-08-05T09:54:14-400523515031",08,M88008,"63.06132125854492"
"2019-08-08T12:52:12-563355000105",08,L83100,"52.6321907043457"
"2019-08-05T10:22:08-557031117100",08,M85031,"68.94346618652344"
"2019-08-09T10:52:17-791138401033",08,M88018,"79.5324821472168"
"2019-08-09T09:52:58-791138401033",08,M88018,"97.59456253051758"
"2019-08-09T11:07:31-265171601049",08,M85063,"64.85666275024414"
"2019-08-05T13:33:57-268130084042",08,M85063,"99.41559982299805"
"2019-08-08T12:18:08-030755545040",08,M88629,"95.24811935424805"
"2019-08-07T15:37:43-871409842014",08,P82008,"69.59092330932617"
"2019-08-22T15:53:28-533939102034",08,M85113,"69.69346237182617"
"2019-08-23T09:56:22-560494564107",08,M85117,"62.74593734741211"
"2019-08-22T08:44:05-326936061034",08,M85061,"69.59092330932617"
