RequestorODS,month,"requestor_supplier","registration_count","retry_count","retry_rate"
A82019,08,EMIS,39,8,"0.20512820512820512"
A82020,04,EMIS,16,10,"0.625"
A82020,05,EMIS,23,19,"0.8260869565217391"
A82020,06,EMIS,13,12,"0.9230769230769231"
A82020,07,EMIS,15,12,"0.8"
A82020,08,EMIS,14,12,"0.8571428571428571"
A82021,04,EMIS,63,11,"0.1746031746031746"
A82021,05,EMIS,64,25,"0.390625"
A82021,06,EMIS,86,24,"0.27906976744186046"
A82021,07,EMIS,94,8,"0.0851063829787234"
A82021,08,EMIS,109,15,"0.13761467889908258"
A82022,04,EMIS,25,3,"0.12"
A82022,05,EMIS,28,9,"0.32142857142857145"
A82022,06,EMIS,29,9,"0.3103448275862069"
A82022,07,EMIS,50,16,"0.32"
A82022,08,EMIS,27,4,"0.14814814814814814"
A82023,04,EMIS,16,8,"0.5"
A82023,05,EMIS,15,11,"0.7333333333333333"
A82023,06,EMIS,28,8,"0.2857142857142857"
A82023,07,EMIS,30,10,"0.3333333333333333"
A82023,08,EMIS,32,6,"0.1875"
A82024,04,EMIS,40,12,"0.3"
A82024,05,EMIS,28,8,"0.2857142857142857"
A82024,06,EMIS,26,9,"0.34615384615384615"
A82024,07,EMIS,29,7,"0.2413793103448276"
A82024,08,EMIS,31,7,"0.22580645161290322"
A82025,04,EMIS,65,20,"0.3076923076923077"
A82025,05,EMIS,73,16,"0.2191780821917808"
A82025,06,EMIS,64,14,"0.21875"
A82025,07,EMIS,78,18,"0.23076923076923078"
A82025,08,EMIS,65,6,"0.09230769230769231"
A82026,04,EMIS,76,24,"0.3157894736842105"
A82026,05,EMIS,95,25,"0.2631578947368421"
A82026,06,EMIS,69,10,"0.14492753623188406"
A82026,07,EMIS,117,33,"0.28205128205128205"
A82026,08,EMIS,105,24,"0.22857142857142856"
A82027,04,EMIS,41,10,"0.24390243902439024"
A82027,05,EMIS,34,4,"0.11764705882352941"
A82027,06,EMIS,34,7,"0.20588235294117646"
A82027,07,EMIS,38,2,"0.05263157894736842"
A82027,08,EMIS,33,5,"0.15151515151515152"
A82028,04,EMIS,42,7,"0.16666666666666666"
A82028,05,EMIS,41,5,"0.12195121951219512"
A82028,06,EMIS,41,6,"0.14634146341463414"
A82028,07,EMIS,56,6,"0.10714285714285714"
A82028,08,EMIS,60,15,"0.25"
A82029,04,EMIS,10,2,"0.2"
A82029,05,EMIS,13,2,"0.15384615384615385"
A82029,06,EMIS,21,9,"0.42857142857142855"
A82029,07,EMIS,22,3,"0.13636363636363635"
A82029,08,EMIS,21,3,"0.14285714285714285"
A82030,04,EMIS,37,3,"0.08108108108108109"
A82030,05,EMIS,61,5,"0.08196721311475409"
A82030,06,EMIS,64,9,"0.140625"
A82030,07,EMIS,35,5,"0.14285714285714285"
A82030,08,EMIS,50,9,"0.18"
A82031,04,EMIS,19,4,"0.21052631578947367"
A82031,05,EMIS,14,2,"0.14285714285714285"
A82031,06,EMIS,19,4,"0.21052631578947367"
A82031,07,EMIS,48,17,"0.3541666666666667"
A82031,08,EMIS,17,3,"0.17647058823529413"
A82032,04,EMIS,70,14,"0.2"
A82032,05,EMIS,44,15,"0.3409090909090909"
A82032,06,EMIS,64,18,"0.28125"
A82032,07,EMIS,67,14,"0.208955223880597"
A82032,08,EMIS,82,17,"0.2073170731707317"
A82033,04,EMIS,26,9,"0.34615384615384615"
A82033,05,EMIS,24,9,"0.375"
A82033,06,EMIS,23,8,"0.34782608695652173"
A82033,07,EMIS,29,6,"0.20689655172413793"
A82033,08,EMIS,24,8,"0.3333333333333333"
A82034,04,EMIS,30,2,"0.06666666666666667"
A82034,05,EMIS,23,9,"0.391304347826087"
A82034,06,EMIS,28,1,"0.03571428571428571"
A82034,07,EMIS,55,4,"0.07272727272727272"
A82034,08,EMIS,30,4,"0.13333333333333333"
A82035,04,EMIS,37,8,"0.21621621621621623"
A82035,05,EMIS,50,15,"0.3"
A82035,06,EMIS,43,11,"0.2558139534883721"
A82035,07,EMIS,66,17,"0.25757575757575757"
A82035,08,EMIS,61,17,"0.2786885245901639"
A82036,04,EMIS,42,8,"0.19047619047619047"
A82036,05,EMIS,72,13,"0.18055555555555555"
A82036,06,EMIS,50,8,"0.16"
A82036,07,EMIS,91,17,"0.18681318681318682"
A82036,08,EMIS,81,18,"0.2222222222222222"
A82037,04,EMIS,20,2,"0.1"
A82037,05,EMIS,25,1,"0.04"
A82037,06,EMIS,28,6,"0.21428571428571427"
A82037,07,EMIS,43,4,"0.09302325581395349"
A82037,08,EMIS,28,2,"0.07142857142857142"
A82038,04,EMIS,41,7,"0.17073170731707318"
A82038,05,EMIS,10,2,"0.2"
A82038,06,EMIS,24,6,"0.25"
A82038,07,EMIS,38,7,"0.18421052631578946"
A82038,08,EMIS,25,4,"0.16"
A82039,04,EMIS,34,10,"0.29411764705882354"
A82039,05,EMIS,42,10,"0.23809523809523808"
A82039,06,EMIS,40,10,"0.25"
A82039,07,EMIS,33,9,"0.2727272727272727"
A82039,08,EMIS,41,6,"0.14634146341463414"
A82041,04,EMIS,21,8,"0.38095238095238093"
A82041,05,EMIS,41,11,"0.2682926829268293"
A82041,06,EMIS,36,16,"0.4444444444444444"
A82041,07,EMIS,20,12,"0.6"
A82041,08,EMIS,24,12,"0.5"
A82044,04,EMIS,106,29,"0.27358490566037735"
A82044,05,EMIS,104,34,"0.3269230769230769"
A82044,06,EMIS,79,26,"0.3291139240506329"
A82044,07,EMIS,95,34,"0.35789473684210527"
A82044,08,EMIS,103,25,"0.24271844660194175"
A82045,04,EMIS,38,6,"0.15789473684210525"
A82045,05,EMIS,47,16,"0.3404255319148936"
A82045,06,EMIS,50,19,"0.38"
A82045,07,EMIS,38,10,"0.2631578947368421"
A82045,08,EMIS,53,13,"0.24528301886792453"
A82046,04,EMIS,39,9,"0.23076923076923078"
A82046,05,EMIS,71,8,"0.11267605633802817"
A82046,06,EMIS,52,9,"0.17307692307692307"
A82046,07,EMIS,67,9,"0.13432835820895522"
A82046,08,EMIS,66,6,"0.09090909090909091"
A82047,04,EMIS,42,9,"0.21428571428571427"
A82047,05,EMIS,42,14,"0.3333333333333333"
A82047,06,EMIS,32,12,"0.375"
