RequestorODS,From,To,count
H83043,"2019-07-28","2019-08-24",14
H83044,"2019-08-18","2019-08-24",7
H83049,"2019-07-28","2019-08-24",14
H83053,"2019-07-28","2019-08-03",7
H83625,"2019-04-21","2019-05-04",14
H83631,"2019-07-28","2019-08-24",14
H84016,"2019-09-22","2019-09-28",7
H84031,"2019-08-18","2019-08-24",7
H84042,"2019-06-30","2019-07-06",7
H84050,"2019-07-28","2019-08-24",14
H84051,"2019-08-18","2019-08-24",7
H84053,"2019-09-22","2019-09-28",7
H84061,"2019-06-30","2019-07-06",7
H84629,"2019-09-22","2019-09-28",7
H84633,"2019-09-08","2019-09-28",21
H85023,"2019-08-18","2019-08-24",7
H85028,"2019-05-26","2019-06-08",14
H85030,"2019-09-08","2019-09-28",21
H85032,"2019-08-18","2019-08-24",7
H85038,"2019-07-28","2019-08-24",14
H85039,"2019-09-22","2019-09-28",7
H85048,"2019-07-28","2019-08-24",14
H85051,"2019-06-30","2019-07-06",7
H85055,"2019-06-30","2019-07-06",7
H85057,"2019-06-30","2019-07-06",7
H85065,"2019-04-21","2019-05-04",14
H85077,"2019-04-21","2019-05-04",14
H85088,"2019-05-19","2019-06-01",14
H85101,"2019-07-28","2019-08-03",7
H85110,"2019-07-28","2019-08-03",7
H85111,"2019-09-22","2019-09-28",7
H85649,"2019-07-28","2019-08-24",14
H85656,"2019-09-08","2019-09-28",21
H85659,"2019-05-19","2019-06-01",14
J81002,"2019-05-04","2019-08-03",92
J81018,"2019-04-20","2019-07-20",92
J81030,"2019-05-25","2019-08-31",99
J81045,"2019-04-01","2019-09-30",169
J81059,"2019-07-20","2019-09-30",73
J81061,"2019-06-15","2019-09-21",99
J81067,"2019-06-08","2019-09-07",92
J81616,"2019-05-19","2019-06-01",14
J82012,"2019-06-30","2019-07-06",7
J82017,"2019-09-08","2019-09-28",21
J82021,"2019-04-21","2019-05-04",14
J82032,"2019-04-21","2019-05-04",14
J82035,"2019-06-30","2019-07-06",7
J82044,"2019-07-28","2019-08-24",14
J82049,"2019-09-22","2019-09-28",7
J82053,"2019-06-30","2019-07-06",7
J82059,"2019-04-21","2019-05-04",14
J82063,"2019-05-19","2019-06-01",14
J82064,"2019-07-28","2019-08-24",14
J82082,"2019-07-28","2019-08-24",14
J82084,"2019-05-19","2019-06-01",14
J82092,"2019-05-26","2019-06-08",14
J82097,"2019-07-28","2019-08-24",14
J82103,"2019-06-30","2019-07-06",7
J82116,"2019-09-08","2019-09-28",21
J82130,"2019-07-28","2019-08-24",14
J82136,"2019-07-28","2019-08-24",14
J82138,"2019-05-19","2019-06-01",14
J82141,"2019-05-19","2019-06-01",14
J82145,"2019-09-08","2019-09-28",21
J82146,"2019-09-22","2019-09-28",7
J82161,"2019-06-05","2019-06-08",4
J82167,"2019-05-26","2019-06-08",14
J82196,"2019-09-22","2019-09-28",7
J82220,"2019-05-26","2019-06-08",14
J82633,"2019-05-26","2019-06-08",14
J82634,"2019-05-19","2019-06-01",14
J83033,"2019-04-01","2019-04-06",6
J83038,"2019-09-07","2019-09-30",24
J83058,"2019-05-26","2019-06-08",14
J83059,"2019-09-28","2019-09-30",3
J83644,"2019-09-22","2019-09-28",7
K81018,"2019-08-18","2019-08-24",7
K81022,"2019-09-08","2019-09-28",21
K81026,"2019-04-21","2019-05-04",14
K81028,"2019-09-22","2019-09-28",7
K81039,"2019-08-18","2019-08-24",7
K81050,"2019-08-18","2019-08-24",7
K81051,"2019-05-19","2019-06-01",14
K81056,"2019-05-26","2019-06-08",14
K81605,"2019-09-08","2019-09-28",21
K81638,"2019-05-26","2019-06-01",7
K82007,"2019-09-22","2019-09-28",7
K82012,"2019-05-26","2019-06-08",14
K82020,"2019-08-18","2019-08-24",7
K82024,"2019-05-26","2019-06-08",14
K82030,"2019-05-19","2019-06-01",14
K82035,"2019-05-26","2019-06-08",14
K82042,"2019-07-28","2019-08-03",7
K82044,"2019-06-30","2019-07-06",7
K82045,"2019-04-21","2019-05-04",14
K82047,"2019-05-19","2019-06-01",14
K82048,"2019-07-28","2019-08-24",14
K82049,"2019-05-17","2019-06-21",36
K82068,"2019-06-30","2019-07-06",7
K82618,"2019-05-26","2019-06-08",14
K83033,"2019-09-14","2019-09-30",17
K83044,"2019-09-22","2019-09-28",7
K83056,"2019-06-30","2019-07-06",7
K83065,"2019-07-28","2019-08-24",14
K83070,"2019-04-21","2019-05-04",14
K84001,"2019-07-28","2019-08-03",7
K84010,"2019-05-19","2019-06-01",14
K84012,"2019-04-27","2019-08-03",92
K84013,"2019-09-22","2019-09-28",7
K84016,"2019-05-19","2019-06-01",14
K84030,"2019-07-28","2019-08-24",14
K84031,"2019-05-19","2019-06-01",14
K84032,"2019-08-18","2019-08-24",7
K84033,"2019-05-26","2019-06-08",14
K84036,"2019-05-26","2019-06-08",14
K84040,"2019-05-26","2019-06-01",7
K84046,"2019-05-26","2019-06-01",7
K84051,"2019-09-22","2019-09-28",7
K84055,"2019-08-18","2019-08-24",7
K84059,"2019-09-22","2019-09-28",7
K84060,"2019-05-26","2019-06-08",14
L81004,"2019-06-30","2019-07-06",7
L81007,"2019-07-28","2019-08-24",14
L81013,"2019-04-21","2019-05-04",14
L81014,"2019-05-26","2019-06-01",7
L81017,"2019-05-26","2019-06-08",14
L81027,"2019-04-01","2019-06-01",62
L81028,"2019-08-18","2019-08-24",7
L81030,"2019-07-28","2019-08-24",14
L81033,"2019-06-30","2019-07-06",7
L81036,"2019-09-22","2019-09-28",7
