"RequestorODS","RequestTime","ConversationID","RequestErrorDescription","attachment_size_mb","attachment_limit_mb"
"B87031","2020-02-26T08:05:12","B79BCF70-586E-11EA-9A23-1101D9901EFF","Attachment size : 148404832 is larger than TPP limit : 62914560","141","60"
"C84051","2020-02-24T10:59:57","CAA6CF00-56F4-11EA-8BAD-375F2288B69D","Attachment size : 88605612 is larger than TPP limit : 62914560","84","60"
"C84051","2020-02-24T11:06:07","A713F260-56F5-11EA-8BAD-375F2288B69D","Attachment size : 88589980 is larger than TPP limit : 62914560","84","60"
"B87030","2020-02-25T15:30:45","CA8332D0-57E3-11EA-9565-49D8656C6F7C","Attachment size : 70119112 is larger than TPP limit : 62914560","66","60"
"C82070","2020-02-25T08:05:58","A75CD240-57A5-11EA-AE1C-3B5673824CD7","Attachment size : 137365736 is larger than TPP limit : 62914560","131","60"
"C84039","2020-02-24T08:29:05","B7C1D250-56DF-11EA-A846-99E16C7BD6E8","Attachment size : 81770824 is larger than TPP limit : 62914560","77","60"
"C84106","2020-02-24T08:13:25","88ACAB40-56DD-11EA-A90D-719DFA86116D","Attachment size : 83395852 is larger than TPP limit : 62914560","79","60"
"D83006","2020-02-25T17:22:36","69585ED0-57F3-11EA-9815-2306338AAFA9","Attachment size : 83395852 is larger than TPP limit : 62914560","79","60"
"D81607","2020-02-24T12:39:02","A3B09030-5702-11EA-8733-5125C26E64B0","Attachment size : 67935688 is larger than TPP limit : 62914560","64","60"
"E81032","2020-02-23T20:45:12","63D314E0-567D-11EA-8F64-D9BBCD37D0FD","Attachment size : 114669292 is larger than TPP limit : 62914560","109","60"
"C88047","2020-02-28T11:31:33","E03B3730-5A1D-11EA-87BA-E9F10B35C116","Attachment size : 93684340 is larger than TPP limit : 62914560","89","60"
"E85124","2020-02-23T10:58:52","877621F0-562B-11EA-814F-E7A558BB6E48","Attachment size : 71599372 is larger than TPP limit : 62914560","68","60"
"E85038","2020-02-24T11:00:56","EF52EE60-56F4-11EA-8D5E-65526EC13249","Attachment size : 73078892 is larger than TPP limit : 62914560","69","60"
"E87009","2020-02-25T18:51:50","E254D9B0-57FF-11EA-82B1-F389AB76C90B","Attachment size : 88067728 is larger than TPP limit : 62914560","83","60"
"F81076","2020-02-24T13:21:07","84BA53E0-5708-11EA-A447-E11624A07E99","Attachment size : 144250596 is larger than TPP limit : 62914560","137","60"
"E87755","2020-02-24T12:18:28","C3BFAF30-56FF-11EA-9A66-CF8B806A88D7","Attachment size : 84010252 is larger than TPP limit : 62914560","80","60"
"H82030","2020-02-24T09:15:31","353BA6B0-56E6-11EA-BC28-61593372A452","Attachment size : 78427520 is larger than TPP limit : 62914560","74","60"
"F81746","2020-02-24T19:13:58","B208B950-5739-11EA-BF22-8B088B9B0DA9","Attachment size : 83395852 is larger than TPP limit : 62914560","79","60"
